Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),Decision
2 ,50,12500,98 ,Yes
0 ,13,3250,28 ,Yes
1 ,16,4000,35 ,Yes
2 ,20,5000,45 ,Yes
1 ,24,6000,77 ,No
4 ,4,1000,4 ,No
2 ,7,1750,14 ,Yes
1 ,12,3000,35 ,No
2 ,9,2250,22 ,Yes
5 ,46,11500,98 ,Yes
4 ,23,5750,58 ,No
0 ,3,750,4 ,No
2 ,10,2500,28 ,Yes
1 ,13,3250,47 ,No
2 ,6,1500,15 ,Yes
2 ,5,1250,11 ,Yes
2 ,14,3500,48 ,Yes
2 ,15,3750,49 ,Yes
2 ,6,1500,15 ,Yes
2 ,3,750,4 ,Yes
2 ,3,750,4 ,Yes
4 ,11,2750,28 ,No
2 ,6,1500,16 ,Yes
2 ,6,1500,16 ,Yes
9 ,9,2250,16 ,No
4 ,14,3500,40 ,No
4 ,6,1500,14 ,No
4 ,12,3000,34 ,Yes
4 ,5,1250,11 ,Yes
4 ,8,2000,21 ,No
1 ,14,3500,58 ,No
4 ,10,2500,28 ,Yes
4 ,10,2500,28 ,Yes
4 ,9,2250,26 ,Yes
2 ,16,4000,64 ,No
2 ,8,2000,28 ,Yes
2 ,12,3000,47 ,Yes
4 ,6,1500,16 ,Yes
2 ,14,3500,57 ,Yes
4 ,7,1750,22 ,Yes
2 ,13,3250,53 ,Yes
2 ,5,1250,16 ,No
2 ,5,1250,16 ,Yes
2 ,5,1250,16 ,No
4 ,20,5000,69 ,Yes
4 ,9,2250,28 ,Yes
2 ,9,2250,36 ,No
2 ,2,500,2 ,No
2 ,2,500,2 ,No
2 ,2,500,2 ,No
2 ,11,2750,46 ,No
2 ,11,2750,46 ,Yes
2 ,6,1500,22 ,No
2 ,12,3000,52 ,No
4 ,5,1250,14 ,Yes
4 ,19,4750,69 ,Yes
4 ,8,2000,26 ,Yes
2 ,7,1750,28 ,Yes
2 ,16,4000,81 ,No
3 ,6,1500,21 ,No
2 ,7,1750,29 ,No
2 ,8,2000,35 ,Yes
2 ,10,2500,49 ,No
4 ,5,1250,16 ,Yes
2 ,3,750,9 ,Yes
3 ,16,4000,74 ,No
2 ,4,1000,14 ,Yes
0 ,2,500,4 ,No
4 ,7,1750,25 ,No
1 ,9,2250,51 ,No
2 ,4,1000,16 ,No
2 ,4,1000,16 ,No
4 ,17,4250,71 ,Yes
2 ,2,500,4 ,No
2 ,2,500,4 ,Yes
2 ,2,500,4 ,Yes
2 ,4,1000,16 ,Yes
2 ,2,500,4 ,No
2 ,2,500,4 ,No
2 ,2,500,4 ,No
4 ,6,1500,23 ,Yes
2 ,4,1000,16 ,No
2 ,4,1000,16 ,No
2 ,4,1000,16 ,No
